Voter,Rank,Award,Player
Marwa,1,Hart Memorial Trophy,Nikita Kucherov
Marwa,2,Hart Memorial Trophy,Leon Draisaitl
Marwa,3,Hart Memorial Trophy,Nathan MacKinnon
Marwa,4,Hart Memorial Trophy,Kirill Kaprizov
Marwa,5,Hart Memorial Trophy,Connor McDavid
Marwa,1,Vezina Trophy,Logan Thompson
Marwa,2,Vezina Trophy,Dustin Wolf
Marwa,3,Vezina Trophy,Lukas Dostal
Marwa,4,Vezina Trophy,Joseph Woll
Marwa,5,Vezina Trophy,Pyotr Kochetkov
Marwa,1,Calder Memorial Trophy,Kirill Marchenko
Marwa,2,Calder Memorial Trophy,Wyatt Johnston
Marwa,3,Calder Memorial Trophy,Kent Johnson
Marwa,4,Calder Memorial Trophy,Logan Cooley
Marwa,5,Calder Memorial Trophy,Marco Rossi
Marwa,1,James Norris Memorial Trophy,Quinn Hughes
Marwa,2,James Norris Memorial Trophy,Shea Theodore
Marwa,3,James Norris Memorial Trophy,Cale Makar
Marwa,4,James Norris Memorial Trophy,Zach Werenski
Marwa,5,James Norris Memorial Trophy,Rasmus Dahlin
Marwa,1,Frank J. Selke Trophy,Jackson Blake
Marwa,2,Frank J. Selke Trophy,Tomas Hertl
Marwa,3,Frank J. Selke Trophy,Nathan MacKinnon
Marwa,4,Frank J. Selke Trophy,Leon Draisaitl
Marwa,5,Frank J. Selke Trophy,Connor McDavid
Marwa,1,Lady Byng Memorial Trophy,William Karlsson
Marwa,2,Lady Byng Memorial Trophy,Jimmy Vesey
Marwa,3,Lady Byng Memorial Trophy,Cole Schwindt
Marwa,4,Lady Byng Memorial Trophy,Brayden Point
Marwa,5,Lady Byng Memorial Trophy,Anze Kopitar
