title,category,summary,reasoning,filename,human_category,Match,notes
The quest for context-relevant governance of agro-forest landscape restoration in Central Malawi: Insights from local processes,Case Study,"This paper examines governance systems for forest landscape restoration in two districts of Central Malawi. Using the Ecology of Games Theory framework, it analyzes the structure and functions of current governance systems supporting collective restoration efforts. The study is based on focus group discussions with local resource-governance bodies, key informant interviews with district officers, and interviews with national stakeholders.",This is classified as a Case Study because it:1. Focuses on specific geographical locations (two districts in Central Malawi)2. Examines real-world implementation of forest landscape restoration governance3. Uses qualitative methods to gather detailed insights about governance processes4. Analyzes a contemporary phenomenon within its real-life context5. Provides in-depth examination of particular instances of governance systems rather than testing theories or conducting systematic empirical research,1-s2.0-S1389934121001611-main,Case Study,Yes,
Policy integration for adaptive water governance: Learning from Scotland's experience,Case Study,"The paper examines how Scotland has implemented Integrated Water Resource Management (IWRM) to improve flood management through the integration of flood, water and rural land use policies. It analyzes six Scottish policy areas and their integration mechanisms using document analysis and stakeholder interviews.","This is classified as a Case Study because it provides an in-depth examination of a specific real-world example (Scotland's water governance policies) to understand policy integration mechanisms. The research uses document analysis and interviews to examine how different policies were integrated in practice within a specific geographical and institutional context. The focus is on understanding the implementation and outcomes of policy integration in this particular case, rather than testing theories or conducting empirical measurements.",1-s2.0-S1462901113001391-main,Case Study,Yes,
"Polycentric governance compensates for incoherence of resource regimes: The case of water uses under climate change in Oberhasli, Switzerland",Case Study,"This paper examines how institutional resource regimes and polycentric governance processes co-evolve and coordinate competing water uses in Switzerland. Through analysis of three water reservoir projects in the Oberhasli region from the early 20th century onward, the study shows how an increasingly incoherent institutional regime led to the emergence of polycentric governance, which helped coordinate water uses when certain conditions like mutual trust and overarching rules were present.","This should be classified as a Case Study because it conducts an in-depth examination of three specific water reservoir projects in one geographic region over time, using multiple data collection methods (interviews, document analysis, observation) to analyze how governance evolved in these specific cases. While it draws theoretical insights, the primary methodology is detailed case study analysis of real-world examples rather than pure theoretical work or broad empirical analysis across many cases.",1-s2.0-S1462901118310980-main,Case Study,Yes,
Pathways towards improved water governance: The role of polycentric governance systems and vertical and horizontal coordination,Empirical Research,"This study analyzes how polycentric governance systems affect water management coordination and performance across 26 case studies in developed and developing countries. Using Qualitative Comparative Analysis (QCA), it examines the relationships between formal governance structures, coordination processes, and outcomes, with particular focus on vertical and horizontal coordination.",This is classified as Empirical Research because it:1. Uses primary data collection and analysis from 26 case studies2. Employs Qualitative Comparative Analysis (QCA) as a systematic empirical method3. Tests specific hypotheses about governance systems using real-world data4. Provides quantitative and qualitative evidence to support findings5. Draws conclusions based on systematic analysis of empirical observations rather than purely theoretical arguments,1-s2.0-S1462901123000837-main,Empirical Research,Yes,
Networked Sovereignty: Polycentric Water Governance and Indigenous Self-determination in the Klamath Basin,Case Study,This paper examines how the Karuk Tribe navigates complex water governance networks in the Klamath Basin through a study of their water quality management efforts. It analyzes how the tribe engages with multiple jurisdictions and organizations while asserting their sovereignty and self-determination in water governance.,"This is classified as a Case Study because it provides an in-depth examination of a specific instance (the Karuk Tribe's water governance) to illustrate broader concepts. The paper uses social network analysis and interviews to examine one tribe's experience with water governance, making detailed observations about their particular situation while drawing broader conclusions about Indigenous water governance. The focus is on understanding this single case rather than testing theories or conducting broader empirical research across multiple cases.",562748,Case Study,Yes,
Co-participation in the Swiss water forum network,Empirical Research,"This study analyzes participation patterns in 23 Swiss water forums involving over 300 actors from public administration, private sector, and scientific communities. The research examines how different types of actors participate in forums and contribute to interactions within and across the forum network.","This is classified as Empirical Research because it: 1) Collects and analyzes original data on Swiss water forums and their members, 2) Uses quantitative methods including social network analysis and exponential random graph models to test hypotheses, 3) Draws conclusions based on empirical observations rather than theoretical arguments or case studies, and 4) Employs statistical analysis to examine patterns of forum participation and cross-sector interactions.",563056,Empirical Research,Yes,
The Role of Intermediate Collaborative Forums in Polycentric Environmental Governance,Empirical Research,"This study examines how intermediate collaborative forums impact polycentric governance systems by analyzing the Arizona Municipal Water Users Association (AMWUA) within Phoenix's municipal water governance network. Using network analysis of 21 interviews with water professionals, the research finds that AMWUA facilitates strong internal collaboration among members while streamlining their collective engagement with the broader governance system through information processing and advocacy.",This is classified as Empirical Research because it:    1. Collects and analyzes primary data through interviews    2. Uses network analysis methods to examine real-world governance structures    3. Tests theoretical propositions about collaborative governance with observational evidence    4. Focuses on measuring and understanding actual organizational relationships and behaviors    5. Draws conclusions based on systematic analysis of collected data rather than purely theoretical reasoning,563059,Empirical Research,Yes,
The governance dimensions of water security: a review,Review & Synthesis,"This paper examines recent debates about the governance dimensions of water security, focusing on adaptive governance, polycentric governance, social learning, multi-level governance and social power. The analysis emphasizes political and institutional aspects of water governance while exploring connections between water governance perspectives and risk-based approaches to water security.","This is clearly a Review & Synthesis paper based on several key factors: 1) It explicitly states it is a review in both the title and introduction, 2) It systematically analyzes and synthesizes existing literature and debates rather than presenting new empirical research, 3) It draws together multiple concepts and frameworks to develop an integrated understanding of water security governance, and 4) It concludes by identifying key questions and future research directions based on the synthesis of existing work.",Bakker and Morinville - 2013 - The governance dimensions of water security a rev,Review & Synthesis,Yes,
"Water reform governmentality in Ecuador: Neoliberalism, centralization, and the restraining of polycentric authority and community rule-making",Case Study,"This paper examines Ecuador's water governance reforms under President Rafael Correa's government, analyzing how it combines state centralization with neoliberal market mechanisms while restricting community-based water management. It focuses on the tensions between government control and autonomous water user organizations, particularly through the case study of Interjuntas-Chimborazo water federation.","This should be classified as a Case Study because it provides an in-depth examination of water governance changes in Ecuador through detailed analysis of specific policies, historical context, and a focused case study of the Interjuntas-Chimborazo water user federation. While it includes theoretical discussion of governmentality, the paper's core contribution is its empirical investigation of how water reform policies played out in practice through a particular case example. The authors use interviews, fieldwork observations, and long-term engagement with water user organizations to construct a rich case narrative.",Boelens et al. - 2015 - Water reform governmentality in Ecuador Neolibera,Case Study,Yes,
Citizen Science for Water Resources Management: Toward Polycentric Monitoring and Governance?,Review & Synthesis,"This editorial examines how citizen science and new technologies are enabling a shift from centralized to polycentric monitoring of water resources. It discusses the implications of this transition for water resource management, data collection, and governance structures.","The document synthesizes existing research and concepts rather than presenting new empirical data or theoretical frameworks. It reviews current trends in water monitoring, technological developments, and governance models while analyzing their relationships and implications. The authors draw from multiple sources to examine how citizen science connects to polycentric governance, making this primarily a review and synthesis piece that integrates different bodies of knowledge to provide new insights about water resource management.",buytaert-et-al-2016-citizen-science-for-water-resources-management-toward-polycentric-monitoring-and-governance,Review & Synthesis,Yes,
